path,mean_L,mean_a,mean_b
Q:\Meme_Repository\0.jpg,186.47621161228406,128.0,128.0
Q:\Meme_Repository\02BzeHE.jpg,114.14260584903354,125.64858935872533,131.3949840847245
Q:\Meme_Repository\1.jpg,105.86929536679537,128.0,128.0
Q:\Meme_Repository\1.PNG,218.58269059437444,128.1147766323024,128.02372406771033
Q:\Meme_Repository\1111222223333333.jpg,111.0374937510415,134.71841597828933,111.30157473754375
Q:\Meme_Repository\1407811233065.jpg,202.0352102623457,120.85118103780864,129.00948832947532
Q:\Meme_Repository\1407954939271.jpg,117.0833675986842,135.88683930173445,138.17225814892345
Q:\Meme_Repository\1408867011604.jpg,146.02577369252708,138.89687632481596,139.5960547783302
Q:\Meme_Repository\1409095063419.png,217.69665072377498,128.29430728020267,129.68399273687075
Q:\Meme_Repository\1409095874822.jpg,89.57791188040913,132.48124783634933,129.47267033831628
Q:\Meme_Repository\1409096905256.jpg,217.90393629325413,129.12036820090768,129.4866543654772
Q:\Meme_Repository\1409097371976.png,221.513521875,130.67530208333332,129.27905520833335
Q:\Meme_Repository\1409195963186.jpg,204.95014718321204,130.72700115464139,125.77258733653768
Q:\Meme_Repository\1409197964185.jpg,176.3389468599034,142.66988405797102,129.4320193236715
Q:\Meme_Repository\1409198321147.jpg,142.83381636205397,129.68640121845084,126.76561009573543
Q:\Meme_Repository\1409465344314.jpg,211.9106037654422,131.26705904932507,129.35692956955376
Q:\Meme_Repository\1409621388599.jpg,97.21785639958377,136.1338345473465,142.44056971904266
Q:\Meme_Repository\1409634394133.jpg,187.38224944320712,107.45379064587974,165.77105567928731
Q:\Meme_Repository\1409634487225.jpg,152.96039257603732,127.87480322611991,120.43025945000485
Q:\Meme_Repository\1409634524346.jpg,192.6745834585076,133.43396575231668,134.46182377001827
Q:\Meme_Repository\1409634561960.jpg,103.33241111111111,128.79170444444443,128.22747333333334
Q:\Meme_Repository\1409634834454.jpg,131.1827774794662,134.27538531909394,142.80636795736135
Q:\Meme_Repository\1409634880782.jpg,133.14774485773344,145.66390303961325,135.24386373134834
Q:\Meme_Repository\1409634888510.jpg,230.36011733333333,127.99004266666667,128.02155733333333
Q:\Meme_Repository\1409635527512.jpg,77.22649299207801,129.62059211862686,130.8018357708714
Q:\Meme_Repository\1409712026659.jpg,194.46635323529412,130.2729932352941,135.4074326470588
Q:\Meme_Repository\1409794076563.jpg,83.0982925166675,139.63240061848472,128.41469233710743
Q:\Meme_Repository\1409794126536.png,39.333889410210965,130.04796742316293,132.94387099016438
Q:\Meme_Repository\1409794137367.jpg,72.32108038390047,127.23790827358597,133.65238420393763
Q:\Meme_Repository\1409794148799.jpg,96.51317678100264,127.32018997361477,143.59470712401054
Q:\Meme_Repository\1409794236861.jpg,159.57742881533292,137.902802638101,134.31455499256487
Q:\Meme_Repository\1409794304982.jpg,125.9655375,162.53188125,156.4016625
Q:\Meme_Repository\1409794380730.jpg,154.675704,129.08084,125.203888
